,x,y
522,1,16
523,0,24
524,1,24
525,1,24
526,1,24
527,0,20
528,0,20
529,0,20
530,0,20
531,1,4
532,0,2
533,0,1
534,1,6
535,1,6
536,1,4
537,0,24
538,0,24
539,1,6
540,0,7
541,0,8
542,0,2
543,1,4
544,0,4
545,1,4
546,1,4
547,1,4
548,0,0
549,0,0
550,0,0
551,1,4
552,0,2
553,0,1
554,1,6
555,1,6
556,1,4
557,0,24
558,0,24
559,1,6
560,0,7
561,0,8
562,0,2
563,1,4
564,0,4
565,1,4
566,1,4
567,1,4
568,0,0
569,0,0
570,1,4
571,0,2
572,0,1
573,1,6
574,1,6
575,1,4
576,0,24
577,0,24
578,1,6
579,0,7
580,0,8
581,0,2
582,1,4
583,0,4
584,1,4
585,1,4
586,1,4
587,0,0
588,1,4
589,0,2
590,0,1
591,1,6
592,1,6
593,1,4
594,0,24
595,0,24
596,1,6
597,0,7
598,0,8
599,0,2
600,1,4
601,0,4
602,1,4
603,1,4
604,1,4
605,2,0
606,1,6
607,1,5
608,2,2
609,2,2
610,2,0
611,1,28
612,1,28
613,2,10
614,1,11
615,1,12
616,1,6
617,2,8
618,1,0
619,2,0
620,2,0
621,2,0
622,1,6
623,1,5
624,2,2
625,2,2
626,2,0
627,1,28
628,1,28
629,2,10
630,1,11
631,1,12
632,1,6
633,2,8
634,1,0
635,2,0
636,0,0
637,1,6
638,1,5
639,2,2
640,2,2
641,2,0
642,1,28
643,1,28
644,2,10
645,1,11
646,1,12
647,1,6
648,2,8
649,1,0
650,1,0
651,0,6
652,0,5
653,1,2
654,1,2
655,1,0
656,0,28
657,0,28
658,1,10
659,0,11
660,0,12
661,0,6
662,1,8
663,2,8
664,1,2
665,1,3
666,2,10
667,2,10
668,2,8
669,1,20
670,1,20
671,2,2
672,1,3
673,1,4
674,1,2
675,1,6
676,0,0
677,0,1
678,1,8
679,1,8
680,1,6
681,0,22
682,0,22
683,1,4
684,0,5
685,0,6
686,1,12
687,0,6
688,0,7
689,1,14
690,1,14
691,1,12
692,0,16
693,0,16
694,1,2
695,0,1
696,1,11
697,0,5
698,0,6
699,1,13
700,1,13
701,1,11
702,0,17
703,0,17
704,1,1
705,2,10
706,1,4
707,1,5
708,2,12
709,2,12
710,2,10
711,1,18
712,1,18
713,1,28
714,0,22
715,0,23
716,1,30
717,1,30
718,1,28
719,0,0
720,1,28
721,0,22
722,0,23
723,1,30
724,1,30
725,1,28
726,2,0
727,1,6
728,1,5
729,0,2
730,0,2
731,2,2
732,1,8
733,1,7
734,0,0
735,2,2
736,1,8
737,1,7
738,1,5
739,0,1
740,1,6
741,0,22
742,1,30
743,1,30
744,1,28
745,0,0
746,0,22
747,1,20
748,1,28
749,1,28
750,0,24
751,0,24
752,0,1
753,0,1
754,0,21
755,0,21
756,1,22
757,0,22
758,0,10
759,0,18
760,1,20
761,0,25
762,0,2
763,0,19
764,0,18
765,0,24
766,1,22
767,1,30
768,1,30
769,0,26
770,0,26
771,0,3
772,0,3
773,0,23
774,0,23
775,0,12
776,0,20
777,1,22
778,0,0
779,0,2
780,0,1
781,0,0
782,0,2
783,0,25
784,0,2
785,0,19
786,0,18
787,0,24
788,1,22
789,1,30
790,1,30
791,0,26
792,0,26
793,0,3
794,0,3
795,0,23
796,0,12
797,0,20
798,1,22
799,0,0
800,0,2
801,0,1
802,0,0
803,0,22
804,1,20
805,0,10
806,0,2
807,0,1
808,0,2
809,0,1
810,0,23
811,0,25
812,0,1
813,0,2
814,0,24
815,1,22
816,0,12
817,0,30
818,0,24
819,0,14
820,0,9
821,0,0
822,0,30
823,0,24
824,0,14
825,0,21
826,0,15
827,1,8
828,0,5
829,0,16
830,0,10
